            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453990.500000000, A.D. 2006-Sep-12 00:00:00.0000, -3.860343004476940E-01, -1.497108016240949E-01,  2.305498972429372E-02,  4.494308972397063E-03, -2.494940321905283E-02, -2.451524398004759E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453991.500000000, A.D. 2006-Sep-13 00:00:00.0000, -3.807681951205015E-01, -1.743382877909684E-01,  2.055893864641804E-02,  6.025827878860596E-03, -2.429298107625509E-02, -2.538441339840980E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453992.500000000, A.D. 2006-Sep-14 00:00:00.0000, -3.740068010360750E-01, -1.982727615740425E-01,  1.798228477906295E-02,  7.484890085880928E-03, -2.356452985932676E-02, -2.612824375179399E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453993.500000000, A.D. 2006-Sep-15 00:00:00.0000, -3.658225073669283E-01, -2.214455381975118E-01,  1.533728260873861E-02,  8.871684193822144E-03, -2.277062986246019E-02, -2.675228409783756E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453994.500000000, A.D. 2006-Sep-16 00:00:00.0000, -3.562873691167681E-01, -2.437941964822989E-01,  1.263564423114471E-02,  1.018667541413640E-02, -2.191723624392211E-02, -2.726182661242613E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453995.500000000, A.D. 2006-Sep-17 00:00:00.0000, -3.454728714871506E-01, -2.652619786393362E-01,  9.888566763150915E-03,  1.143052613083408E-02, -2.100972897912725E-02, -2.766187450070187E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453996.500000000, A.D. 2006-Sep-18 00:00:00.0000, -3.334497665322833E-01, -2.857972400423133E-01,  7.106762305339047E-03,  1.260403037101672E-02, -2.005296262785950E-02, -2.795712252039967E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453997.500000000, A.D. 2006-Sep-19 00:00:00.0000, -3.202879693233947E-01, -3.053529481654399E-01,  4.300489348972154E-03,  1.370805996844013E-02, -1.905131474103366E-02, -2.815194712425348E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453998.500000000, A.D. 2006-Sep-20 00:00:00.0000, -3.060565029247958E-01, -3.238862289228797E-01,  1.479584789723049E-03,  1.474352047463991E-02, -1.800873216277456E-02, -2.825040382812610E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453999.500000000, A.D. 2006-Sep-21 00:00:00.0000, -2.908234832968500E-01, -3.413579580696747E-01, -1.346504075994703E-03,  1.571131513441492E-02, -1.692877480195204E-02, -2.825622991228709E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
